term,created
yeet,2012-01-11
boujee,2020-10-21
lowkey,2015-07-12
highkey,2024-07-02
thicc,2016-12-07
doggo,2016-08-12
pupper,2014-04-27
big mood,2018-01-23
stan,2004-06-06
chonk,2019-08-12
shook,2003-07-01
snatched,2005-10-11
savage,2004-07-23
extra,2004-10-20
lit,2003-06-15
woke,2003-07-02
NPC,2006-09-04
OK boomer,2020-03-06
and I oop,2020-07-06
sksksk,2024-12-19
VSCO girl,2023-01-17
vibe check,2020-06-06
periodt,2020-06-02
simp,2005-02-24
stonks,2008-11-15
poggers,2020-10-10
no cap,2020-08-31
cap,2004-05-03
bussin,2008-04-24
sus,2005-10-04
doomscrolling,2020-07-20
hits different,2023-01-09
main character,2023-03-04
rent free,2024-11-04
iykyk,2023-10-06
Karen,2005-08-23
cheugy,2021-05-15
understood the assignment,2023-04-28
caught in 4K,2024-01-24
ratio,2004-12-25
mid,2005-03-06
touch grass,2021-12-25
goated,2007-06-30
ick,2007-09-06
sheesh,2005-03-27
gatekeep,2007-12-19
pick me,2024-06-21
sneaky link,2023-11-09
gigachad,2021-09-04
based,2005-01-16
yassify,2021-11-27
bet,2003-06-11
unalive,2009-03-28
situationship,2018-02-05
ate and left no crumbs,2023-03-05
slay,2003-07-02
rizz,2022-07-14
ong,2010-01-14
gyatt,2023-05-20
delulu,2023-07-08
skibidi,2023-10-12
looksmaxxing,2020-08-31
mewing,2006-11-04
pookie,2024-09-29
big back,2024-12-10
yapping,2006-09-05
brain rot,2021-11-10
demure,2005-03-04
crash out,2011-01-09
glazing,2006-08-06
unc,2005-11-25
huzz,2012-02-14
aura farming,2025-02-25
chopped,2005-06-23
clanker,2011-05-22
sigma,2004-01-06
zesty,2006-01-09
