term,month,views
yeet,2015-07,4
yeet,2015-08,14
yeet,2015-09,14
yeet,2015-10,2
yeet,2015-11,98
yeet,2015-12,38
yeet,2016-01,46
yeet,2016-02,103
yeet,2016-03,81
yeet,2016-04,50
yeet,2016-05,64
yeet,2016-06,63
yeet,2016-07,50
yeet,2016-08,63
yeet,2016-09,97
yeet,2016-10,91
yeet,2016-11,72
yeet,2016-12,125
yeet,2017-01,141
yeet,2017-02,268
yeet,2017-03,407
yeet,2017-04,662
yeet,2017-05,1251
yeet,2017-06,1195
yeet,2017-07,1307
yeet,2017-08,1314
yeet,2017-09,1320
yeet,2017-10,4150
yeet,2017-11,5500
yeet,2017-12,3357
yeet,2018-01,2522
yeet,2018-02,2612
yeet,2018-03,3433
yeet,2018-04,5299
yeet,2018-05,9207
yeet,2018-06,6071
yeet,2018-07,5798
yeet,2018-08,6976
yeet,2018-09,6935
yeet,2018-10,9747
yeet,2018-11,11029
yeet,2018-12,9129
yeet,2019-01,15697
yeet,2019-02,10374
yeet,2019-03,13927
yeet,2019-04,17239
yeet,2019-05,14474
yeet,2019-06,13129
yeet,2019-07,17062
yeet,2019-08,16192
yeet,2019-09,17205
yeet,2019-10,17240
yeet,2019-11,13916
yeet,2019-12,12099
yeet,2020-01,12694
yeet,2020-02,10609
yeet,2020-03,8515
yeet,2020-04,8585
yeet,2020-05,9261
yeet,2020-06,8700
yeet,2020-07,8545
yeet,2020-08,10239
yeet,2020-09,11950
yeet,2020-10,15846
yeet,2020-11,19297
yeet,2020-12,10686
yeet,2021-01,7399
yeet,2021-02,6465
yeet,2021-03,5864
yeet,2021-04,5605
yeet,2021-05,5388
yeet,2021-06,3692
yeet,2021-07,2797
yeet,2021-08,3037
yeet,2021-09,2176
yeet,2021-10,2229
yeet,2021-11,2465
yeet,2021-12,3267
yeet,2022-01,2736
yeet,2022-02,2346
yeet,2022-03,2450
yeet,2022-04,3146
yeet,2022-05,3696
yeet,2022-06,3890
yeet,2022-07,3300
yeet,2022-08,3187
yeet,2022-09,3811
yeet,2022-10,4534
yeet,2022-11,3471
yeet,2022-12,3279
yeet,2023-01,3266
yeet,2023-02,3094
yeet,2023-03,3401
yeet,2023-04,3566
yeet,2023-05,3171
yeet,2023-06,2570
yeet,2023-07,2589
yeet,2023-08,2656
yeet,2023-09,3339
yeet,2023-10,4081
yeet,2023-11,3984
yeet,2023-12,4096
yeet,2024-01,3760
yeet,2024-02,3358
yeet,2024-03,3001
yeet,2024-04,3467
yeet,2024-05,2679
yeet,2024-06,2198
yeet,2024-07,2388
yeet,2024-08,1834
yeet,2024-09,2154
yeet,2024-10,1961
