term,month,views,views_raw
-Tok,2015-07,0,0
-Tok,2015-08,0,0
-Tok,2015-09,0,0
-Tok,2015-10,0,0
-Tok,2015-11,0,0
-Tok,2015-12,0,0
-Tok,2016-01,0,0
-Tok,2016-02,0,0
-Tok,2016-03,0,0
-Tok,2016-04,0,0
-Tok,2016-05,0,0
-Tok,2016-06,0,0
-Tok,2016-07,0,0
-Tok,2016-08,0,0
-Tok,2016-09,0,0
-Tok,2016-10,0,0
-Tok,2016-11,0,0
-Tok,2016-12,0,0
-Tok,2017-01,0,0
-Tok,2017-02,0,0
-Tok,2017-03,0,0
-Tok,2017-04,0,0
-Tok,2017-05,0,0
-Tok,2017-06,0,0
-Tok,2017-07,0,0
-Tok,2017-08,0,0
-Tok,2017-09,0,0
-Tok,2017-10,0,0
-Tok,2017-11,0,0
-Tok,2017-12,0,0
-Tok,2018-01,0,0
-Tok,2018-02,0,0
-Tok,2018-03,0,0
-Tok,2018-04,0,0
-Tok,2018-05,0,0
-Tok,2018-06,0,0
-Tok,2018-07,0,0
-Tok,2018-08,0,0
-Tok,2018-09,0,0
-Tok,2018-10,0,0
-Tok,2018-11,0,0
-Tok,2018-12,0,0
-Tok,2019-01,0,0
-Tok,2019-02,0,0
-Tok,2019-03,0,0
-Tok,2019-04,0,0
-Tok,2019-05,0,0
-Tok,2019-06,0,0
-Tok,2019-07,0,0
-Tok,2019-08,0,0
-Tok,2019-09,0,0
-Tok,2019-10,0,0
-Tok,2019-11,0,0
-Tok,2019-12,0,0
-Tok,2020-01,0,0
-Tok,2020-02,0,0
-Tok,2020-03,0,0
-Tok,2020-04,0,0
-Tok,2020-05,0,0
-Tok,2020-06,0,0
-Tok,2020-07,0,0
-Tok,2020-08,0,0
-Tok,2020-09,0,0
-Tok,2020-10,0,0
-Tok,2020-11,0,0
-Tok,2020-12,0,0
-Tok,2021-01,0,0
-Tok,2021-02,0,0
-Tok,2021-03,0,0
-Tok,2021-04,0,0
-Tok,2021-05,0,0
-Tok,2021-06,0,0
-Tok,2021-07,0,0
-Tok,2021-08,0,0
-Tok,2021-09,0,0
-Tok,2021-10,0,0
-Tok,2021-11,0,0
-Tok,2021-12,0,0
-Tok,2022-01,0,0
-Tok,2022-02,0,0
-Tok,2022-03,0,0
-Tok,2022-04,0,0
-Tok,2022-05,0,0
-Tok,2022-06,0,0
-Tok,2022-07,0,0
-Tok,2022-08,0,0
-Tok,2022-09,0,0
-Tok,2022-10,0,0
-Tok,2022-11,0,0
-Tok,2022-12,0,0
-Tok,2023-01,62,62
-Tok,2023-02,27,27
-Tok,2023-03,20,20
-Tok,2023-04,7,7
-Tok,2023-05,12,12
-Tok,2023-06,15,15
-Tok,2023-07,12,12
-Tok,2023-08,21,21
-Tok,2023-09,6,6
-Tok,2023-10,18,18
-Tok,2023-11,8,8
-Tok,2023-12,23,23
-Tok,2024-01,8,8
-Tok,2024-02,24,24
-Tok,2024-03,23,23
-Tok,2024-04,31,31
-Tok,2024-05,30,30
-Tok,2024-06,24,24
-Tok,2024-07,23,23
-Tok,2024-08,21,21
-Tok,2024-09,47,47
-Tok,2024-10,30,30
-Tok,2024-11,20,20
-Tok,2024-12,48,48
-Tok,2025-01,71,71
-Tok,2025-02,50,50
-Tok,2025-03,40,40
-Tok,2025-04,34,34
-Tok,2025-05,41,41
-Tok,2025-06,25,25
-Tok,2025-07,26,26
-Tok,2025-08,32,32
-Tok,2025-09,58,58
-Tok,2025-10,30,30
-Tok,2025-11,44,44
-Tok,2025-12,47,47
-Tok,2026-01,50,50
-Tok,2026-02,52,52
-Tok,2026-03,56,56
-Tok,2026-04,35,35
-Tok,2026-05,59,59
-Tok,2026-06,47,47
-Tok,2026-07,54,54
-Tok,2026-08,63,63
-cel,2015-07,0,0
-cel,2015-08,0,0
-cel,2015-09,0,0
-cel,2015-10,0,0
-cel,2015-11,0,0
-cel,2015-12,0,0
-cel,2016-01,0,0
-cel,2016-02,0,0
-cel,2016-03,0,0
-cel,2016-04,0,0
-cel,2016-05,0,0
-cel,2016-06,0,0
-cel,2016-07,0,0
-cel,2016-08,0,0
-cel,2016-09,0,0
-cel,2016-10,0,0
-cel,2016-11,0,0
-cel,2016-12,0,0
-cel,2017-01,0,0
-cel,2017-02,0,0
-cel,2017-03,0,0
-cel,2017-04,0,0
-cel,2017-05,0,0
-cel,2017-06,0,0
-cel,2017-07,0,0
-cel,2017-08,0,0
-cel,2017-09,0,0
-cel,2017-10,0,0
-cel,2017-11,0,0
-cel,2017-12,0,0
-cel,2018-01,0,0
-cel,2018-02,0,0
-cel,2018-03,0,0
-cel,2018-04,0,0
-cel,2018-05,0,0
-cel,2018-06,0,0
-cel,2018-07,0,0
-cel,2018-08,0,0
-cel,2018-09,0,0
-cel,2018-10,0,0
-cel,2018-11,0,0
-cel,2018-12,0,0
-cel,2019-01,0,0
-cel,2019-02,0,0
-cel,2019-03,0,0
-cel,2019-04,0,0
-cel,2019-05,0,0
-cel,2019-06,0,0
-cel,2019-07,4,4
-cel,2019-08,11,11
-cel,2019-09,3,3
-cel,2019-10,4,4
-cel,2019-11,3,3
-cel,2019-12,5,5
-cel,2020-01,8,8
-cel,2020-02,7,7
-cel,2020-03,7,7
-cel,2020-04,16,16
-cel,2020-05,16,16
-cel,2020-06,14,14
-cel,2020-07,6,6
-cel,2020-08,12,12
-cel,2020-09,11,11
-cel,2020-10,8,8
-cel,2020-11,6,6
-cel,2020-12,8,8
-cel,2021-01,7,7
-cel,2021-02,16,16
-cel,2021-03,8,8
-cel,2021-04,5,5
-cel,2021-05,7,7
-cel,2021-06,7,7
-cel,2021-07,5,5
-cel,2021-08,5,5
-cel,2021-09,10,10
-cel,2021-10,9,9
-cel,2021-11,10,10
-cel,2021-12,5,5
-cel,2022-01,2,2
-cel,2022-02,9,9
-cel,2022-03,5,5
-cel,2022-04,2,2
-cel,2022-05,17,17
-cel,2022-06,9,9
-cel,2022-07,12,12
-cel,2022-08,26,26
-cel,2022-09,13,13
-cel,2022-10,140,140
-cel,2022-11,104,104
-cel,2022-12,127,127
-cel,2023-01,168,168
-cel,2023-02,183,183
-cel,2023-03,301,301
-cel,2023-04,283,283
-cel,2023-05,203,203
-cel,2023-06,275,275
-cel,2023-07,258,258
-cel,2023-08,232,232
-cel,2023-09,271,271
-cel,2023-10,330,330
-cel,2023-11,347,347
-cel,2023-12,380,380
-cel,2024-01,424,424
-cel,2024-02,340,340
-cel,2024-03,370,370
-cel,2024-04,433,433
-cel,2024-05,373,373
-cel,2024-06,350,350
-cel,2024-07,444,444
-cel,2024-08,335,335
-cel,2024-09,316,316
-cel,2024-10,324,324
-cel,2024-11,349,349
-cel,2024-12,432,432
-cel,2025-01,386,386
-cel,2025-02,344,344
-cel,2025-03,478,684
-cel,2025-04,375,375
-cel,2025-05,364,364
-cel,2025-06,439,439
-cel,2025-07,464,464
-cel,2025-08,525,525
-cel,2025-09,543,543
-cel,2025-10,526,526
-cel,2025-11,504,504
-cel,2025-12,561,561
-cel,2026-01,610,610
-cel,2026-02,604,604
-cel,2026-03,465,465
-cel,2026-04,498,498
-cel,2026-05,346,346
-cel,2026-06,369,369
