month,total
2015-07,51461678
2015-08,51322114
2015-09,56249432
2015-10,50411175
2015-11,46449389
2015-12,49501942
2016-01,47788824
2016-02,46658140
2016-03,48674651
2016-04,45187645
2016-05,46598653
2016-06,41738833
2016-07,41199794
2016-08,47044829
2016-09,50449217
2016-10,54245385
2016-11,47313506
2016-12,46138876
2017-01,53995558
2017-02,53846876
2017-03,64105275
2017-04,90785220
2017-05,75655412
2017-06,57159840
2017-07,55013107
2017-08,54916529
2017-09,58617480
2017-10,63162725
2017-11,67707948
2017-12,57527595
2018-01,63624006
2018-02,60867149
2018-03,67936533
2018-04,72879025
2018-05,72274947
2018-06,69727189
2018-07,68309168
2018-08,73347994
2018-09,72549424
2018-10,79446011
2018-11,85290903
2018-12,89676683
2019-01,91642987
2019-02,78149328
2019-03,82969030
2019-04,85749300
2019-05,81023786
2019-06,71036614
2019-07,71267498
2019-08,75343643
2019-09,88849708
2019-10,86779749
2019-11,97180675
2019-12,81286863
2020-01,89887202
2020-02,93103702
2020-03,88231292
2020-04,94297493
2020-05,75041361
2020-06,62935895
2020-07,63882443
2020-08,62142248
2020-09,66591663
2020-10,69495399
2020-11,69271283
2020-12,59584726
2021-01,62121929
2021-02,66418586
2021-03,70001430
2021-04,58803744
2021-05,56099896
2021-06,47867328
2021-07,47732151
2021-08,51112065
2021-09,49572897
2021-10,50877188
2021-11,51487624
2021-12,50770039
2022-01,56534858
2022-02,55836558
2022-03,64933391
2022-04,62245666
2022-05,64423880
2022-06,61244811
2022-07,67334955
2022-08,72995488
2022-09,84227287
2022-10,93943925
2022-11,98837673
2022-12,81463874
2023-01,96800343
2023-02,97735908
2023-03,103751643
2023-04,81001265
2023-05,94277925
2023-06,95228456
2023-07,93436090
2023-08,92903708
2023-09,89655908
2023-10,90332912
2023-11,83376191
2023-12,84393362
2024-01,96779694
2024-02,93852454
2024-03,111170590
2024-04,105601715
2024-05,82332058
2024-06,73799430
2024-07,72523360
2024-08,83507643
2024-09,77668765
2024-10,81192356
2024-11,77493764
2024-12,86192896
2025-01,91557721
2025-02,92845138
2025-03,112535587
2025-04,95749023
2025-05,92996573
2025-06,94231338
2025-07,82405559
2025-08,89502795
2025-09,117482669
2025-10,110574096
2025-11,119933585
2025-12,108517934
2026-01,81296591
2026-02,102897477
2026-03,84432124
2026-04,78906869
2026-05,86521747
2026-06,87392782
2026-07,87305195
2026-08,87633319
